Iteration 0, Warp ID: 121, Weight: 7.57575799999929151e-03, CVs: pc1=0.91, pc2=6.54
Iteration 0, Warp ID: 129, Weight: 7.57575799999929151e-03, CVs: pc1=0.95, pc2=8.01
Iteration 1, Warp ID: 105, Weight: 2.52525299999973836e-03, CVs: pc1=1.00, pc2=7.91
Iteration 1, Warp ID: 106, Weight: 2.52525299999973836e-03, CVs: pc1=1.00, pc2=6.60
Iteration 1, Warp ID: 102, Weight: 2.52525299999973836e-03, CVs: pc1=0.96, pc2=8.41
Iteration 2, Warp ID: 109, Weight: 2.52525299999971147e-03, CVs: pc1=0.92, pc2=14.78
Iteration 3, Warp ID: 106, Weight: 1.51515199999980848e-02, CVs: pc1=0.91, pc2=20.98
Iteration 3, Warp ID: 108, Weight: 1.26262599999984039e-03, CVs: pc1=0.92, pc2=26.88
Iteration 4, Warp ID: 112, Weight: 1.89393899999973567e-02, CVs: pc1=0.94, pc2=16.29
Iteration 4, Warp ID: 101, Weight: 1.01010099999985902e-02, CVs: pc1=0.88, pc2=23.58
Iteration 4, Warp ID: 118, Weight: 8.41750799999882579e-04, CVs: pc1=1.00, pc2=7.82
Iteration 7, Warp ID: 118, Weight: 1.87055699999964776e-04, CVs: pc1=0.99, pc2=37.16
Iteration 8, Warp ID: 105, Weight: 2.10437699999956171e-03, CVs: pc1=0.87, pc2=24.05
Iteration 8, Warp ID: 121, Weight: 1.87055699999961062e-04, CVs: pc1=1.00, pc2=67.08
Iteration 11, Warp ID: 121, Weight: 4.02689399999886762e-05, CVs: pc1=0.97, pc2=19.72
Iteration 11, Warp ID: 122, Weight: 4.02689399999886762e-05, CVs: pc1=1.00, pc2=38.36
Iteration 11, Warp ID: 108, Weight: 3.73526899999894989e-03, CVs: pc1=0.87, pc2=44.32
Iteration 12, Warp ID: 115, Weight: 2.01344699999937452e-05, CVs: pc1=1.00, pc2=10.46
Iteration 12, Warp ID: 105, Weight: 3.73526899999883930e-03, CVs: pc1=0.97, pc2=25.76
Iteration 12, Warp ID: 114, Weight: 2.01344699999937452e-05, CVs: pc1=1.00, pc2=41.25
Iteration 12, Warp ID: 99, Weight: 1.24508999999961307e-03, CVs: pc1=0.87, pc2=85.28
Iteration 14, Warp ID: 121, Weight: 1.96408499999925447e-03, CVs: pc1=1.00, pc2=48.87
Iteration 15, Warp ID: 96, Weight: 7.86413499999670182e-03, CVs: pc1=0.86, pc2=26.72
Iteration 15, Warp ID: 119, Weight: 9.82042599999588236e-04, CVs: pc1=0.97, pc2=18.04
Iteration 18, Warp ID: 115, Weight: 3.95472799999776098e-05, CVs: pc1=1.00, pc2=16.12
Iteration 18, Warp ID: 113, Weight: 5.44686199999691676e-04, CVs: pc1=0.94, pc2=39.08
Iteration 19, Warp ID: 103, Weight: 6.48265099999594408e-03, CVs: pc1=0.87, pc2=30.01
Iteration 19, Warp ID: 112, Weight: 2.72343099999829629e-04, CVs: pc1=0.91, pc2=43.63
Iteration 19, Warp ID: 113, Weight: 2.72343099999829629e-04, CVs: pc1=0.89, pc2=40.04
Iteration 19, Warp ID: 117, Weight: 3.95472799999752584e-05, CVs: pc1=1.00, pc2=21.34
Iteration 19, Warp ID: 118, Weight: 5.93209199999628843e-05, CVs: pc1=1.00, pc2=27.88
Iteration 21, Warp ID: 120, Weight: 5.83466699999554131e-04, CVs: pc1=1.00, pc2=85.01
Iteration 21, Warp ID: 117, Weight: 7.47958399999428393e-04, CVs: pc1=0.95, pc2=64.63
Iteration 22, Warp ID: 120, Weight: 1.31824299999888664e-05, CVs: pc1=0.97, pc2=23.22
Iteration 32, Warp ID: 115, Weight: 3.30864799999240459e-04, CVs: pc1=0.94, pc2=36.37
Iteration 34, Warp ID: 102, Weight: 2.31096299999352002e-03, CVs: pc1=0.88, pc2=71.37
Iteration 36, Warp ID: 108, Weight: 1.14912799999606447e-03, CVs: pc1=0.91, pc2=63.32
Iteration 37, Warp ID: 106, Weight: 1.25588199999524669e-03, CVs: pc1=0.89, pc2=38.19
Iteration 41, Warp ID: 115, Weight: 3.30201999998135532e-04, CVs: pc1=0.95, pc2=18.15
Iteration 41, Warp ID: 117, Weight: 3.87227599997813556e-03, CVs: pc1=0.96, pc2=51.26
Iteration 44, Warp ID: 105, Weight: 1.92900799998529708e-05, CVs: pc1=0.88, pc2=54.72
Iteration 45, Warp ID: 108, Weight: 3.81874099996783309e-03, CVs: pc1=0.86, pc2=67.94
Iteration 46, Warp ID: 111, Weight: 5.67838299994713729e-04, CVs: pc1=0.92, pc2=87.98
Iteration 48, Warp ID: 125, Weight: 1.95450799997777612e-05, CVs: pc1=1.00, pc2=67.89
Iteration 51, Warp ID: 119, Weight: 6.36392999990232277e-05, CVs: pc1=1.00, pc2=32.07
Iteration 53, Warp ID: 119, Weight: 6.43270399987940677e-05, CVs: pc1=0.91, pc2=74.65
Iteration 56, Warp ID: 129, Weight: 9.66740299975536275e-07, CVs: pc1=1.00, pc2=52.80
Iteration 56, Warp ID: 130, Weight: 3.12723799992086350e-05, CVs: pc1=1.00, pc2=70.38
Iteration 59, Warp ID: 111, Weight: 7.33444899974947236e-09, CVs: pc1=0.92, pc2=24.89
Iteration 66, Warp ID: 131, Weight: 1.78713799987706735e-06, CVs: pc1=1.00, pc2=64.16
Iteration 70, Warp ID: 105, Weight: 5.65143499942005885e-08, CVs: pc1=0.89, pc2=42.49
Iteration 72, Warp ID: 120, Weight: 1.25587399984259332e-08, CVs: pc1=0.95, pc2=77.88
Iteration 72, Warp ID: 126, Weight: 4.47599499943898464e-07, CVs: pc1=1.00, pc2=15.20
Iteration 74, Warp ID: 121, Weight: 1.11899899982869365e-07, CVs: pc1=1.00, pc2=108.37
Iteration 80, Warp ID: 116, Weight: 1.26045599964840685e-08, CVs: pc1=0.91, pc2=62.59
Iteration 81, Warp ID: 123, Weight: 1.24333199961670856e-08, CVs: pc1=1.00, pc2=62.57
Iteration 85, Warp ID: 131, Weight: 2.48666399885638124e-08, CVs: pc1=1.00, pc2=56.19
Iteration 85, Warp ID: 125, Weight: 1.83093599915795406e-08, CVs: pc1=0.93, pc2=28.40
Iteration 86, Warp ID: 128, Weight: 9.20586199533360353e-11, CVs: pc1=0.98, pc2=33.92
Iteration 89, Warp ID: 118, Weight: 6.10311899581283077e-09, CVs: pc1=1.00, pc2=34.53
Iteration 90, Warp ID: 118, Weight: 4.06874599691503818e-09, CVs: pc1=0.92, pc2=40.24
Iteration 90, Warp ID: 119, Weight: 4.06874599691503818e-09, CVs: pc1=0.94, pc2=50.99
Iteration 91, Warp ID: 121, Weight: 1.01718599914780508e-09, CVs: pc1=0.99, pc2=40.77
Iteration 91, Warp ID: 116, Weight: 1.01718599914780508e-09, CVs: pc1=0.92, pc2=52.86
Iteration 91, Warp ID: 119, Weight: 1.01718599914780508e-09, CVs: pc1=0.95, pc2=63.62
Iteration 92, Warp ID: 121, Weight: 1.01718599905817903e-09, CVs: pc1=0.91, pc2=45.08
Iteration 92, Warp ID: 123, Weight: 3.39062099686213959e-10, CVs: pc1=0.97, pc2=51.12
Iteration 93, Warp ID: 123, Weight: 6.78124299306169440e-10, CVs: pc1=1.00, pc2=53.39
Iteration 93, Warp ID: 115, Weight: 4.06874599583573705e-09, CVs: pc1=0.92, pc2=24.25
Iteration 94, Warp ID: 125, Weight: 1.27148299856454511e-10, CVs: pc1=0.94, pc2=37.70
Iteration 101, Warp ID: 128, Weight: 5.54698198736494852e-09, CVs: pc1=1.00, pc2=99.18
Iteration 103, Warp ID: 112, Weight: 1.48026599588151257e-07, CVs: pc1=0.92, pc2=24.05
Iteration 103, Warp ID: 117, Weight: 2.30134399359705491e-07, CVs: pc1=0.95, pc2=76.88
Iteration 105, Warp ID: 123, Weight: 2.31615799212908335e-07, CVs: pc1=1.00, pc2=69.44
Iteration 108, Warp ID: 114, Weight: 1.27851299413637543e-09, CVs: pc1=0.90, pc2=38.11
Iteration 111, Warp ID: 114, Weight: 5.84285096382233634e-09, CVs: pc1=0.89, pc2=62.28
Iteration 111, Warp ID: 116, Weight: 5.84285096382233634e-09, CVs: pc1=0.89, pc2=88.28
Iteration 114, Warp ID: 117, Weight: 2.09075498252674384e-09, CVs: pc1=1.00, pc2=61.75
Iteration 115, Warp ID: 106, Weight: 4.42171995915689423e-09, CVs: pc1=0.89, pc2=54.66
Iteration 116, Warp ID: 110, Weight: 8.84343890972023193e-09, CVs: pc1=0.89, pc2=56.25
Iteration 117, Warp ID: 105, Weight: 3.25630496326054425e-08, CVs: pc1=0.87, pc2=27.42
Iteration 119, Warp ID: 130, Weight: 2.63877196398050918e-11, CVs: pc1=1.00, pc2=17.74
Iteration 122, Warp ID: 107, Weight: 7.24395486989887655e-12, CVs: pc1=1.00, pc2=73.78
