Iteration 0, Warp ID: 129, Weight: 7.57575799999999494e-03, CVs: pc1=0.96, pc2=3.53
Iteration 0, Warp ID: 131, Weight: 7.57575799999999494e-03, CVs: pc1=0.97, pc2=6.12
Iteration 1, Warp ID: 97, Weight: 3.78787899999999747e-03, CVs: pc1=0.97, pc2=7.92
Iteration 1, Warp ID: 99, Weight: 2.52525299999999814e-03, CVs: pc1=0.95, pc2=10.01
Iteration 2, Warp ID: 112, Weight: 7.57575799999999407e-03, CVs: pc1=0.90, pc2=30.30
Iteration 2, Warp ID: 114, Weight: 8.41750799999999347e-04, CVs: pc1=0.95, pc2=10.81
Iteration 2, Warp ID: 119, Weight: 8.41750799999999347e-04, CVs: pc1=0.97, pc2=10.03
Iteration 3, Warp ID: 114, Weight: 3.78787899999999660e-03, CVs: pc1=0.92, pc2=16.93
Iteration 3, Warp ID: 124, Weight: 4.20875399999999619e-04, CVs: pc1=0.99, pc2=15.10
Iteration 3, Warp ID: 122, Weight: 2.80583599999999710e-04, CVs: pc1=0.93, pc2=18.64
Iteration 4, Warp ID: 121, Weight: 1.40291799999999866e-03, CVs: pc1=1.00, pc2=21.46
Iteration 4, Warp ID: 125, Weight: 9.35278699999999127e-05, CVs: pc1=0.99, pc2=5.48
Iteration 5, Warp ID: 127, Weight: 3.11759599999999643e-05, CVs: pc1=0.98, pc2=20.56
Iteration 5, Warp ID: 118, Weight: 9.35278699999998991e-05, CVs: pc1=0.93, pc2=14.74
Iteration 5, Warp ID: 119, Weight: 9.35278699999998991e-05, CVs: pc1=0.91, pc2=13.81
Iteration 6, Warp ID: 124, Weight: 3.11759599999999643e-05, CVs: pc1=1.00, pc2=10.72
Iteration 6, Warp ID: 125, Weight: 3.11759599999999643e-05, CVs: pc1=1.00, pc2=25.47
Iteration 7, Warp ID: 122, Weight: 2.31481499999999698e-03, CVs: pc1=1.00, pc2=17.83
Iteration 8, Warp ID: 122, Weight: 2.10437699999999701e-04, CVs: pc1=1.00, pc2=6.64
Iteration 9, Warp ID: 122, Weight: 6.23519099999999009e-05, CVs: pc1=0.93, pc2=25.52
Iteration 10, Warp ID: 130, Weight: 7.01458999999998733e-05, CVs: pc1=1.00, pc2=28.60
Iteration 11, Warp ID: 114, Weight: 1.89393899999999661e-03, CVs: pc1=0.92, pc2=70.21
Iteration 11, Warp ID: 125, Weight: 7.01458999999998598e-05, CVs: pc1=0.96, pc2=26.83
Iteration 11, Warp ID: 127, Weight: 7.01458999999998598e-05, CVs: pc1=1.00, pc2=25.96
Iteration 12, Warp ID: 128, Weight: 2.05176799999999548e-03, CVs: pc1=0.97, pc2=37.45
Iteration 12, Warp ID: 107, Weight: 1.84132999999999623e-02, CVs: pc1=0.88, pc2=60.26
Iteration 12, Warp ID: 117, Weight: 1.47306399999999702e-03, CVs: pc1=0.95, pc2=33.87
Iteration 12, Warp ID: 126, Weight: 2.05176799999999548e-03, CVs: pc1=0.97, pc2=21.79
Iteration 12, Warp ID: 127, Weight: 2.05176799999999548e-03, CVs: pc1=0.97, pc2=29.98
Iteration 13, Warp ID: 120, Weight: 2.06345899999999536e-03, CVs: pc1=0.96, pc2=77.29
Iteration 13, Warp ID: 122, Weight: 2.06345899999999536e-03, CVs: pc1=0.97, pc2=64.04
Iteration 13, Warp ID: 124, Weight: 2.33819699999999445e-05, CVs: pc1=1.00, pc2=20.27
Iteration 13, Warp ID: 125, Weight: 2.33819699999999445e-05, CVs: pc1=1.00, pc2=11.52
Iteration 15, Warp ID: 120, Weight: 3.11759599999999101e-05, CVs: pc1=0.89, pc2=39.15
Iteration 15, Warp ID: 116, Weight: 6.31313099999998291e-04, CVs: pc1=0.90, pc2=25.26
Iteration 16, Warp ID: 123, Weight: 3.43909799999998907e-04, CVs: pc1=1.00, pc2=22.93
Iteration 17, Warp ID: 120, Weight: 1.03172899999999642e-03, CVs: pc1=0.98, pc2=30.94
Iteration 17, Warp ID: 117, Weight: 3.07765199999998976e-03, CVs: pc1=0.92, pc2=79.98
Iteration 18, Warp ID: 120, Weight: 1.10382399999999587e-03, CVs: pc1=0.93, pc2=17.22
Iteration 18, Warp ID: 113, Weight: 3.96324399999998557e-03, CVs: pc1=0.92, pc2=46.85
Iteration 18, Warp ID: 116, Weight: 4.14109299999998390e-02, CVs: pc1=0.91, pc2=23.82
Iteration 18, Warp ID: 121, Weight: 1.10382399999999587e-03, CVs: pc1=0.93, pc2=15.93
Iteration 19, Warp ID: 122, Weight: 1.10382399999999544e-03, CVs: pc1=0.95, pc2=31.91
Iteration 20, Warp ID: 117, Weight: 9.67246199999995462e-05, CVs: pc1=1.00, pc2=24.36
Iteration 20, Warp ID: 118, Weight: 9.67246199999995462e-05, CVs: pc1=1.00, pc2=33.93
Iteration 21, Warp ID: 123, Weight: 9.67246199999995056e-05, CVs: pc1=0.98, pc2=52.09
Iteration 21, Warp ID: 110, Weight: 9.35278699999995196e-05, CVs: pc1=0.87, pc2=21.08
Iteration 22, Warp ID: 97, Weight: 1.38036399999999226e-02, CVs: pc1=0.88, pc2=25.90
Iteration 22, Warp ID: 109, Weight: 8.59774399999995093e-05, CVs: pc1=1.00, pc2=25.42
Iteration 22, Warp ID: 103, Weight: 6.90182099999996079e-03, CVs: pc1=0.93, pc2=28.03
Iteration 24, Warp ID: 114, Weight: 1.44714899999998994e-02, CVs: pc1=0.89, pc2=61.92
Iteration 24, Warp ID: 131, Weight: 1.93449199999998656e-04, CVs: pc1=1.00, pc2=46.18
Iteration 24, Warp ID: 125, Weight: 2.16648499999998493e-04, CVs: pc1=0.95, pc2=16.28
Iteration 24, Warp ID: 126, Weight: 4.29887199999997004e-05, CVs: pc1=0.99, pc2=17.90
Iteration 25, Warp ID: 122, Weight: 9.67246199999992481e-05, CVs: pc1=1.00, pc2=42.57
Iteration 25, Warp ID: 119, Weight: 6.44830799999995168e-05, CVs: pc1=0.97, pc2=33.95
Iteration 25, Warp ID: 118, Weight: 5.84549199999995559e-05, CVs: pc1=0.99, pc2=13.31
Iteration 25, Warp ID: 111, Weight: 1.05218899999999204e-04, CVs: pc1=0.92, pc2=29.93
Iteration 26, Warp ID: 110, Weight: 9.35278699999992079e-05, CVs: pc1=0.93, pc2=44.20
