Iteration 2, Warp ID: 89, Weight: 1.26262599999999998e-03, CVs: pc1=0.97, pc2=26.78
Iteration 4, Warp ID: 83, Weight: 1.40291799999999991e-04, CVs: pc1=0.96, pc2=21.44
Iteration 4, Warp ID: 84, Weight: 1.26262599999999998e-03, CVs: pc1=0.97, pc2=11.98
Iteration 5, Warp ID: 86, Weight: 1.89393900000000008e-03, CVs: pc1=0.92, pc2=7.85
Iteration 6, Warp ID: 86, Weight: 4.67639399999999973e-05, CVs: pc1=0.94, pc2=36.56
Iteration 7, Warp ID: 83, Weight: 4.67639399999999973e-05, CVs: pc1=0.88, pc2=23.17
Iteration 9, Warp ID: 81, Weight: 2.90404000000000009e-02, CVs: pc1=1.00, pc2=57.92
Iteration 9, Warp ID: 85, Weight: 5.26094300000000002e-05, CVs: pc1=1.00, pc2=76.03
Iteration 9, Warp ID: 86, Weight: 5.26094300000000002e-05, CVs: pc1=0.99, pc2=32.10
Iteration 10, Warp ID: 88, Weight: 1.57828299999999988e-04, CVs: pc1=0.96, pc2=9.90
Iteration 11, Warp ID: 100, Weight: 5.84549199999999997e-06, CVs: pc1=1.00, pc2=28.51
Iteration 13, Warp ID: 93, Weight: 2.41613700000000000e-04, CVs: pc1=0.95, pc2=30.70
Iteration 13, Warp ID: 94, Weight: 2.41613700000000000e-04, CVs: pc1=0.87, pc2=34.58
Iteration 14, Warp ID: 93, Weight: 1.20806799999999997e-04, CVs: pc1=0.95, pc2=33.23
Iteration 14, Warp ID: 94, Weight: 1.20806799999999997e-04, CVs: pc1=0.99, pc2=24.31
Iteration 15, Warp ID: 107, Weight: 2.92274599999999999e-06, CVs: pc1=1.00, pc2=28.19
Iteration 17, Warp ID: 90, Weight: 3.00068600000000002e-04, CVs: pc1=0.88, pc2=33.79
Iteration 19, Warp ID: 88, Weight: 5.85791399999999966e-03, CVs: pc1=0.94, pc2=70.36
Iteration 19, Warp ID: 90, Weight: 4.17368100000000027e-03, CVs: pc1=0.91, pc2=24.37
Iteration 20, Warp ID: 98, Weight: 6.04034199999999998e-04, CVs: pc1=0.95, pc2=27.75
Iteration 20, Warp ID: 102, Weight: 2.71815399999999986e-04, CVs: pc1=1.00, pc2=42.96
Iteration 20, Warp ID: 95, Weight: 7.43164999999999971e-03, CVs: pc1=0.87, pc2=96.01
Iteration 21, Warp ID: 92, Weight: 1.11973600000000008e-03, CVs: pc1=0.94, pc2=53.63
Iteration 21, Warp ID: 101, Weight: 5.03361799999999996e-05, CVs: pc1=0.96, pc2=14.36
Iteration 21, Warp ID: 95, Weight: 1.17884100000000005e-04, CVs: pc1=0.90, pc2=22.64
Iteration 22, Warp ID: 99, Weight: 1.67787300000000012e-05, CVs: pc1=1.00, pc2=12.02
Iteration 22, Warp ID: 101, Weight: 1.67787300000000012e-05, CVs: pc1=0.99, pc2=8.94
Iteration 22, Warp ID: 95, Weight: 1.46429599999999991e-03, CVs: pc1=0.91, pc2=65.51
Iteration 23, Warp ID: 89, Weight: 5.89420400000000019e-05, CVs: pc1=0.90, pc2=24.74
Iteration 23, Warp ID: 103, Weight: 7.32147900000000031e-04, CVs: pc1=1.00, pc2=63.72
Iteration 23, Warp ID: 86, Weight: 3.92947000000000017e-05, CVs: pc1=0.89, pc2=27.97
Iteration 23, Warp ID: 94, Weight: 3.73245499999999976e-04, CVs: pc1=0.94, pc2=74.05
Iteration 24, Warp ID: 99, Weight: 5.59290899999999989e-06, CVs: pc1=0.96, pc2=27.81
Iteration 24, Warp ID: 101, Weight: 5.59290899999999989e-06, CVs: pc1=0.98, pc2=26.39
Iteration 25, Warp ID: 98, Weight: 2.76849000000000019e-04, CVs: pc1=0.94, pc2=13.54
Iteration 25, Warp ID: 101, Weight: 5.59290899999999989e-06, CVs: pc1=0.98, pc2=24.17
Iteration 25, Warp ID: 94, Weight: 8.38936300000000013e-06, CVs: pc1=0.96, pc2=39.87
Iteration 26, Warp ID: 101, Weight: 3.66073899999999999e-04, CVs: pc1=1.00, pc2=58.20
Iteration 27, Warp ID: 96, Weight: 1.25028600000000008e-05, CVs: pc1=0.92, pc2=35.15
Iteration 28, Warp ID: 97, Weight: 2.20919900000000006e-05, CVs: pc1=0.96, pc2=67.53
Iteration 28, Warp ID: 98, Weight: 2.20919900000000006e-05, CVs: pc1=0.97, pc2=77.58
Iteration 28, Warp ID: 103, Weight: 9.94139600000000046e-05, CVs: pc1=1.00, pc2=48.82
Iteration 29, Warp ID: 103, Weight: 6.62759699999999983e-05, CVs: pc1=1.00, pc2=55.38
Iteration 30, Warp ID: 104, Weight: 1.49120899999999990e-04, CVs: pc1=1.00, pc2=48.25
Iteration 31, Warp ID: 110, Weight: 1.49120899999999990e-04, CVs: pc1=1.00, pc2=65.02
Iteration 33, Warp ID: 104, Weight: 1.10460000000000006e-05, CVs: pc1=1.00, pc2=48.91
Iteration 33, Warp ID: 106, Weight: 3.08542100000000008e-05, CVs: pc1=1.00, pc2=62.24
Iteration 33, Warp ID: 107, Weight: 3.08542100000000008e-05, CVs: pc1=1.00, pc2=69.36
Iteration 34, Warp ID: 99, Weight: 6.44271999999999987e-05, CVs: pc1=0.98, pc2=27.76
Iteration 35, Warp ID: 83, Weight: 1.07932900000000005e-04, CVs: pc1=0.92, pc2=78.34
Iteration 37, Warp ID: 93, Weight: 2.76149899999999992e-06, CVs: pc1=0.96, pc2=45.95
Iteration 40, Warp ID: 93, Weight: 2.76149899999999992e-06, CVs: pc1=0.94, pc2=62.37
Iteration 46, Warp ID: 109, Weight: 9.86570600000000085e-06, CVs: pc1=1.00, pc2=41.23
Iteration 47, Warp ID: 81, Weight: 1.49891199999999999e-05, CVs: pc1=0.87, pc2=69.21
Iteration 47, Warp ID: 99, Weight: 1.17126600000000005e-07, CVs: pc1=1.00, pc2=62.98
Iteration 47, Warp ID: 103, Weight: 9.86570600000000085e-06, CVs: pc1=1.00, pc2=49.41
Iteration 49, Warp ID: 102, Weight: 7.22449899999999995e-08, CVs: pc1=1.00, pc2=64.30
Iteration 50, Warp ID: 104, Weight: 2.36016499999999996e-06, CVs: pc1=0.93, pc2=63.30
Iteration 50, Warp ID: 107, Weight: 9.93369699999999957e-06, CVs: pc1=1.00, pc2=69.12
Iteration 50, Warp ID: 95, Weight: 2.40816600000000010e-08, CVs: pc1=0.87, pc2=66.01
