Iteration 12, Warp ID: 203, Weight: 2.56592199999999983e-07, CVs: pc1=0.86, pc2=120.06
Iteration 15, Warp ID: 199, Weight: 8.55307500000000064e-08, CVs: pc1=0.92, pc2=132.98
Iteration 15, Warp ID: 202, Weight: 2.59799599999999390e-06, CVs: pc1=0.88, pc2=130.45
Iteration 15, Warp ID: 204, Weight: 9.50341599999999939e-09, CVs: pc1=0.88, pc2=123.44
Iteration 17, Warp ID: 224, Weight: 5.77332499999999694e-07, CVs: pc1=0.88, pc2=131.54
Iteration 17, Warp ID: 215, Weight: 3.16780500000000011e-09, CVs: pc1=0.88, pc2=132.61
Iteration 18, Warp ID: 235, Weight: 1.92444200000000037e-07, CVs: pc1=0.88, pc2=148.21
Iteration 18, Warp ID: 217, Weight: 2.62294299999999241e-06, CVs: pc1=0.86, pc2=70.09
Iteration 18, Warp ID: 222, Weight: 5.77332499999999694e-07, CVs: pc1=0.88, pc2=96.20
Iteration 19, Warp ID: 223, Weight: 2.87686199999998804e-05, CVs: pc1=0.88, pc2=108.99
Iteration 19, Warp ID: 232, Weight: 8.65998799999998452e-07, CVs: pc1=0.88, pc2=132.57
Iteration 19, Warp ID: 233, Weight: 1.92444200000000010e-07, CVs: pc1=0.88, pc2=120.66
Iteration 19, Warp ID: 234, Weight: 6.41480600000000056e-08, CVs: pc1=1.00, pc2=93.72
Iteration 19, Warp ID: 235, Weight: 6.41480600000000056e-08, CVs: pc1=0.90, pc2=106.57
Iteration 20, Warp ID: 208, Weight: 2.13826900000000007e-08, CVs: pc1=0.88, pc2=103.58
Iteration 20, Warp ID: 243, Weight: 5.19599299999997788e-06, CVs: pc1=1.01, pc2=155.44
Iteration 20, Warp ID: 245, Weight: 4.81110399999999967e-07, CVs: pc1=1.00, pc2=132.36
Iteration 21, Warp ID: 248, Weight: 3.20740299999999975e-07, CVs: pc1=1.00, pc2=156.22
Iteration 21, Warp ID: 202, Weight: 2.13826900000000007e-08, CVs: pc1=0.88, pc2=102.78
Iteration 21, Warp ID: 237, Weight: 4.83222299999999987e-07, CVs: pc1=0.88, pc2=160.00
Iteration 21, Warp ID: 244, Weight: 4.81110399999999993e-08, CVs: pc1=1.00, pc2=120.78
Iteration 22, Warp ID: 231, Weight: 2.17346699999999998e-08, CVs: pc1=0.90, pc2=109.01
Iteration 23, Warp ID: 215, Weight: 9.50341599999999939e-09, CVs: pc1=0.88, pc2=61.77
Iteration 23, Warp ID: 234, Weight: 1.07447999999999632e-06, CVs: pc1=0.92, pc2=174.88
Iteration 23, Warp ID: 241, Weight: 5.34567199999999969e-08, CVs: pc1=0.88, pc2=162.65
Iteration 23, Warp ID: 244, Weight: 1.07969399999999987e-07, CVs: pc1=1.00, pc2=172.25
Iteration 23, Warp ID: 245, Weight: 1.07969399999999987e-07, CVs: pc1=1.00, pc2=153.15
Iteration 23, Warp ID: 250, Weight: 4.81110399999999993e-08, CVs: pc1=1.00, pc2=136.34
Iteration 23, Warp ID: 251, Weight: 4.81110399999999993e-08, CVs: pc1=1.00, pc2=157.67
Iteration 24, Warp ID: 235, Weight: 2.46956799999999968e-07, CVs: pc1=1.00, pc2=129.17
Iteration 24, Warp ID: 237, Weight: 2.67283600000000001e-09, CVs: pc1=0.96, pc2=131.97
Iteration 25, Warp ID: 238, Weight: 1.21903599999999102e-05, CVs: pc1=0.86, pc2=94.36
Iteration 25, Warp ID: 251, Weight: 2.67283600000000001e-09, CVs: pc1=0.96, pc2=164.14
Iteration 26, Warp ID: 238, Weight: 1.05593500000000004e-09, CVs: pc1=0.88, pc2=68.73
Iteration 27, Warp ID: 241, Weight: 3.51978400000000016e-10, CVs: pc1=0.86, pc2=111.20
Iteration 28, Warp ID: 271, Weight: 8.90945299999999938e-09, CVs: pc1=1.00, pc2=139.48
Iteration 28, Warp ID: 241, Weight: 1.97315699999999995e-08, CVs: pc1=0.86, pc2=29.47
Iteration 29, Warp ID: 245, Weight: 8.90945299999999938e-09, CVs: pc1=1.00, pc2=162.39
Iteration 29, Warp ID: 248, Weight: 8.90945299999999938e-09, CVs: pc1=1.00, pc2=111.69
Iteration 30, Warp ID: 240, Weight: 1.60370099999999998e-08, CVs: pc1=0.90, pc2=154.95
Iteration 30, Warp ID: 245, Weight: 1.05428500000000007e-08, CVs: pc1=1.00, pc2=167.62
Iteration 31, Warp ID: 218, Weight: 1.60370099999999998e-08, CVs: pc1=0.91, pc2=71.49
Iteration 32, Warp ID: 256, Weight: 3.71227200000000032e-11, CVs: pc1=1.00, pc2=152.48
Iteration 32, Warp ID: 215, Weight: 1.30362400000000002e-11, CVs: pc1=0.86, pc2=50.13
Iteration 32, Warp ID: 218, Weight: 2.44796099999999996e-08, CVs: pc1=0.88, pc2=164.93
Iteration 32, Warp ID: 232, Weight: 1.34796699999999996e-08, CVs: pc1=0.90, pc2=136.02
Iteration 32, Warp ID: 252, Weight: 3.71227200000000032e-11, CVs: pc1=1.00, pc2=153.35
Iteration 32, Warp ID: 254, Weight: 3.71227200000000032e-11, CVs: pc1=1.00, pc2=145.86
