Iteration 7, Warp ID: 154, Weight: 1.017253e-06, CVs: pc1=1.00, pc2=0.04
Iteration 7, Warp ID: 173, Weight: 8.138021e-07, CVs: pc1=0.98, pc2=0.01
Iteration 7, Warp ID: 176, Weight: 1.589457e-07, CVs: pc1=0.97, pc2=0.02
Iteration 7, Warp ID: 180, Weight: 1.589457e-07, CVs: pc1=0.99, pc2=0.01
Iteration 7, Warp ID: 193, Weight: 5.086263e-07, CVs: pc1=1.00, pc2=0.03
Iteration 7, Warp ID: 194, Weight: 5.086263e-07, CVs: pc1=1.00, pc2=0.01
Iteration 7, Warp ID: 195, Weight: 5.086263e-07, CVs: pc1=0.98, pc2=0.04
Iteration 7, Warp ID: 197, Weight: 4.238553e-07, CVs: pc1=0.98, pc2=0.01
Iteration 7, Warp ID: 198, Weight: 4.238553e-07, CVs: pc1=0.99, pc2=0.04
Iteration 8, Warp ID: 162, Weight: 2.543132e-07, CVs: pc1=1.00, pc2=0.04
Iteration 8, Warp ID: 170, Weight: 3.390842e-06, CVs: pc1=0.97, pc2=0.00
Iteration 9, Warp ID: 171, Weight: 1.059638e-07, CVs: pc1=0.97, pc2=0.00
Iteration 9, Warp ID: 172, Weight: 1.059638e-07, CVs: pc1=1.00, pc2=0.02
Iteration 9, Warp ID: 189, Weight: 2.119276e-07, CVs: pc1=1.00, pc2=0.01
Iteration 9, Warp ID: 191, Weight: 2.119276e-07, CVs: pc1=0.98, pc2=0.00
Iteration 10, Warp ID: 148, Weight: 1.695421e-07, CVs: pc1=0.97, pc2=0.00
Iteration 10, Warp ID: 153, Weight: 5.298191e-08, CVs: pc1=1.00, pc2=0.04
Iteration 10, Warp ID: 165, Weight: 4.238553e-08, CVs: pc1=1.00, pc2=0.04
Iteration 10, Warp ID: 190, Weight: 4.069010e-07, CVs: pc1=1.00, pc2=0.01
Iteration 11, Warp ID: 143, Weight: 2.260561e-07, CVs: pc1=0.98, pc2=0.00
Iteration 11, Warp ID: 144, Weight: 1.986821e-08, CVs: pc1=0.98, pc2=0.02
Iteration 11, Warp ID: 164, Weight: 2.691144e-08, CVs: pc1=0.99, pc2=-0.00
Iteration 12, Warp ID: 158, Weight: 6.279337e-08, CVs: pc1=0.98, pc2=0.00
Iteration 12, Warp ID: 160, Weight: 1.059638e-07, CVs: pc1=0.98, pc2=0.02
Iteration 12, Warp ID: 169, Weight: 7.064254e-09, CVs: pc1=1.00, pc2=0.02
Iteration 12, Warp ID: 177, Weight: 3.767602e-08, CVs: pc1=1.00, pc2=0.00
Iteration 12, Warp ID: 122, Weight: 3.767602e-08, CVs: pc1=1.00, pc2=0.03
Iteration 13, Warp ID: 136, Weight: 5.794717e-07, CVs: pc1=0.97, pc2=0.00
Iteration 13, Warp ID: 149, Weight: 5.581633e-09, CVs: pc1=1.00, pc2=0.01
Iteration 13, Warp ID: 157, Weight: 3.685390e-05, CVs: pc1=1.00, pc2=0.01
Iteration 13, Warp ID: 158, Weight: 3.685390e-05, CVs: pc1=1.00, pc2=0.00
Iteration 13, Warp ID: 160, Weight: 1.046556e-08, CVs: pc1=0.98, pc2=0.02
Iteration 13, Warp ID: 164, Weight: 1.046556e-08, CVs: pc1=1.00, pc2=0.01
Iteration 13, Warp ID: 170, Weight: 1.766064e-08, CVs: pc1=1.00, pc2=0.00
Iteration 13, Warp ID: 183, Weight: 2.034505e-08, CVs: pc1=1.00, pc2=0.03
Iteration 14, Warp ID: 175, Weight: 1.842695e-05, CVs: pc1=1.00, pc2=0.02
Iteration 14, Warp ID: 178, Weight: 6.317812e-06, CVs: pc1=1.00, pc2=0.01
Iteration 14, Warp ID: 183, Weight: 1.766064e-08, CVs: pc1=0.99, pc2=0.00
Iteration 15, Warp ID: 142, Weight: 1.810849e-07, CVs: pc1=1.00, pc2=0.02
Iteration 15, Warp ID: 158, Weight: 3.158906e-06, CVs: pc1=1.00, pc2=0.00
Iteration 15, Warp ID: 171, Weight: 5.794717e-07, CVs: pc1=1.00, pc2=0.00
Iteration 15, Warp ID: 174, Weight: 6.142317e-06, CVs: pc1=1.00, pc2=0.02
Iteration 15, Warp ID: 178, Weight: 3.139669e-09, CVs: pc1=0.99, pc2=0.00
Iteration 15, Warp ID: 187, Weight: 4.527123e-08, CVs: pc1=0.99, pc2=0.04
Iteration 15, Warp ID: 193, Weight: 1.412851e-08, CVs: pc1=0.99, pc2=0.01
Iteration 16, Warp ID: 130, Weight: 1.086510e-06, CVs: pc1=1.00, pc2=0.01
Iteration 16, Warp ID: 146, Weight: 3.685390e-07, CVs: pc1=0.99, pc2=0.02
Iteration 16, Warp ID: 151, Weight: 4.422468e-06, CVs: pc1=1.00, pc2=0.03
Iteration 16, Warp ID: 163, Weight: 8.774739e-07, CVs: pc1=1.00, pc2=0.04
Iteration 16, Warp ID: 166, Weight: 8.774739e-07, CVs: pc1=1.00, pc2=0.04
Iteration 16, Warp ID: 168, Weight: 2.948312e-07, CVs: pc1=1.00, pc2=0.01
Iteration 16, Warp ID: 178, Weight: 7.897265e-07, CVs: pc1=1.00, pc2=0.00
Iteration 16, Warp ID: 190, Weight: 7.064254e-08, CVs: pc1=1.00, pc2=0.01
Iteration 16, Warp ID: 197, Weight: 5.264843e-07, CVs: pc1=0.98, pc2=0.01
Iteration 17, Warp ID: 143, Weight: 1.552156e-07, CVs: pc1=1.00, pc2=0.04
Iteration 17, Warp ID: 178, Weight: 5.886878e-10, CVs: pc1=0.98, pc2=0.00
Iteration 17, Warp ID: 185, Weight: 1.131781e-08, CVs: pc1=0.97, pc2=0.01
Iteration 18, Warp ID: 139, Weight: 1.448679e-07, CVs: pc1=0.99, pc2=0.04
Iteration 18, Warp ID: 157, Weight: 6.036164e-08, CVs: pc1=1.00, pc2=0.04
Iteration 18, Warp ID: 166, Weight: 1.974316e-07, CVs: pc1=0.98, pc2=0.03
Iteration 18, Warp ID: 181, Weight: 1.131781e-08, CVs: pc1=0.97, pc2=0.02
Iteration 18, Warp ID: 185, Weight: 3.532127e-08, CVs: pc1=1.00, pc2=0.00
Iteration 18, Warp ID: 188, Weight: 6.170268e-07, CVs: pc1=0.98, pc2=0.02
Iteration 19, Warp ID: 163, Weight: 3.621698e-08, CVs: pc1=0.98, pc2=0.03
Iteration 19, Warp ID: 166, Weight: 3.018082e-08, CVs: pc1=0.98, pc2=-0.00
Iteration 19, Warp ID: 182, Weight: 1.883801e-08, CVs: pc1=1.00, pc2=0.03
Iteration 19, Warp ID: 185, Weight: 3.395342e-08, CVs: pc1=0.98, pc2=0.01
Iteration 20, Warp ID: 147, Weight: 4.263993e-04, CVs: pc1=1.00, pc2=0.01
Iteration 20, Warp ID: 182, Weight: 9.054246e-09, CVs: pc1=0.99, pc2=0.00
Iteration 20, Warp ID: 185, Weight: 2.012055e-08, CVs: pc1=0.99, pc2=0.02
Iteration 20, Warp ID: 199, Weight: 7.370781e-08, CVs: pc1=1.00, pc2=0.04
Iteration 21, Warp ID: 160, Weight: 4.606738e-08, CVs: pc1=0.99, pc2=0.01
Iteration 21, Warp ID: 170, Weight: 8.121892e-05, CVs: pc1=1.00, pc2=0.04
Iteration 21, Warp ID: 173, Weight: 2.056884e-05, CVs: pc1=1.00, pc2=0.02
Iteration 21, Warp ID: 181, Weight: 1.828342e-05, CVs: pc1=1.00, pc2=0.02
Iteration 21, Warp ID: 187, Weight: 4.527123e-09, CVs: pc1=1.00, pc2=0.02
Iteration 21, Warp ID: 120, Weight: 9.213476e-08, CVs: pc1=1.00, pc2=0.00
Iteration 22, Warp ID: 149, Weight: 3.480811e-05, CVs: pc1=1.00, pc2=0.00
Iteration 22, Warp ID: 162, Weight: 9.141709e-06, CVs: pc1=0.99, pc2=0.00
Iteration 22, Warp ID: 166, Weight: 8.356894e-09, CVs: pc1=0.97, pc2=0.00
Iteration 22, Warp ID: 168, Weight: 2.436568e-05, CVs: pc1=1.00, pc2=0.01
Iteration 22, Warp ID: 169, Weight: 2.436568e-05, CVs: pc1=1.00, pc2=0.02
Iteration 22, Warp ID: 177, Weight: 3.948632e-09, CVs: pc1=1.00, pc2=0.02
Iteration 22, Warp ID: 180, Weight: 3.948632e-09, CVs: pc1=0.99, pc2=0.04
Iteration 22, Warp ID: 189, Weight: 6.094473e-06, CVs: pc1=1.00, pc2=0.02
Iteration 22, Warp ID: 191, Weight: 3.018082e-08, CVs: pc1=1.00, pc2=0.00
Iteration 23, Warp ID: 172, Weight: 1.624378e-05, CVs: pc1=0.98, pc2=0.04
Iteration 23, Warp ID: 184, Weight: 4.351014e-06, CVs: pc1=0.99, pc2=0.02
Iteration 23, Warp ID: 194, Weight: 2.285427e-06, CVs: pc1=1.00, pc2=0.04
Iteration 23, Warp ID: 196, Weight: 2.285427e-06, CVs: pc1=0.97, pc2=0.02
Iteration 24, Warp ID: 157, Weight: 1.218284e-05, CVs: pc1=1.00, pc2=0.02
Iteration 24, Warp ID: 159, Weight: 4.351014e-06, CVs: pc1=1.00, pc2=0.00
Iteration 24, Warp ID: 176, Weight: 2.856784e-07, CVs: pc1=0.99, pc2=0.00
Iteration 24, Warp ID: 177, Weight: 2.856784e-07, CVs: pc1=0.98, pc2=0.00
Iteration 24, Warp ID: 178, Weight: 2.856784e-07, CVs: pc1=1.00, pc2=0.00
Iteration 24, Warp ID: 185, Weight: 1.088299e-07, CVs: pc1=0.97, pc2=0.00
Iteration 24, Warp ID: 192, Weight: 5.142211e-06, CVs: pc1=0.97, pc2=0.00
Iteration 24, Warp ID: 195, Weight: 8.702027e-06, CVs: pc1=1.00, pc2=0.01
Iteration 25, Warp ID: 143, Weight: 4.060946e-06, CVs: pc1=1.00, pc2=0.01
Iteration 25, Warp ID: 171, Weight: 1.776664e-06, CVs: pc1=1.00, pc2=0.04
Iteration 25, Warp ID: 176, Weight: 7.346016e-08, CVs: pc1=1.00, pc2=0.04
Iteration 25, Warp ID: 177, Weight: 7.346016e-08, CVs: pc1=0.98, pc2=0.01
Iteration 26, Warp ID: 174, Weight: 1.071294e-07, CVs: pc1=0.97, pc2=0.01
Iteration 27, Warp ID: 168, Weight: 2.961106e-07, CVs: pc1=1.00, pc2=0.02
Iteration 27, Warp ID: 170, Weight: 2.961106e-07, CVs: pc1=0.98, pc2=0.02
Iteration 27, Warp ID: 175, Weight: 5.713568e-07, CVs: pc1=0.97, pc2=0.01
Iteration 27, Warp ID: 176, Weight: 3.570980e-08, CVs: pc1=1.00, pc2=0.01
Iteration 27, Warp ID: 180, Weight: 1.065998e-07, CVs: pc1=0.98, pc2=0.00
Iteration 27, Warp ID: 181, Weight: 1.065998e-07, CVs: pc1=0.99, pc2=0.01
Iteration 27, Warp ID: 183, Weight: 1.065998e-07, CVs: pc1=0.97, pc2=0.00
Iteration 27, Warp ID: 199, Weight: 6.662490e-08, CVs: pc1=1.00, pc2=0.02
Iteration 28, Warp ID: 167, Weight: 4.512162e-07, CVs: pc1=0.97, pc2=0.01
Iteration 28, Warp ID: 169, Weight: 9.522613e-08, CVs: pc1=1.00, pc2=0.00
Iteration 28, Warp ID: 173, Weight: 2.856784e-07, CVs: pc1=1.00, pc2=0.01
Iteration 28, Warp ID: 175, Weight: 2.856784e-07, CVs: pc1=0.97, pc2=0.01
Iteration 28, Warp ID: 176, Weight: 3.625845e-07, CVs: pc1=1.00, pc2=0.01
Iteration 28, Warp ID: 192, Weight: 9.064612e-08, CVs: pc1=0.98, pc2=0.02
Iteration 29, Warp ID: 132, Weight: 3.948142e-08, CVs: pc1=0.97, pc2=0.00
Iteration 29, Warp ID: 140, Weight: 1.224336e-08, CVs: pc1=1.00, pc2=0.00
Iteration 29, Warp ID: 145, Weight: 2.417230e-08, CVs: pc1=1.00, pc2=0.04
Iteration 29, Warp ID: 184, Weight: 1.208615e-08, CVs: pc1=0.99, pc2=0.02
Iteration 29, Warp ID: 197, Weight: 8.328112e-09, CVs: pc1=1.00, pc2=0.02
Iteration 30, Warp ID: 174, Weight: 2.776037e-08, CVs: pc1=1.00, pc2=0.02
Iteration 30, Warp ID: 175, Weight: 1.087753e-08, CVs: pc1=1.00, pc2=0.01
Iteration 30, Warp ID: 182, Weight: 4.626729e-09, CVs: pc1=0.97, pc2=0.00
Iteration 31, Warp ID: 145, Weight: 6.043074e-09, CVs: pc1=1.00, pc2=0.02
Iteration 31, Warp ID: 147, Weight: 8.057433e-08, CVs: pc1=1.00, pc2=0.00
Iteration 31, Warp ID: 171, Weight: 1.224336e-08, CVs: pc1=1.00, pc2=0.02
Iteration 31, Warp ID: 179, Weight: 1.156682e-09, CVs: pc1=1.00, pc2=0.01
Iteration 31, Warp ID: 180, Weight: 3.470047e-09, CVs: pc1=1.00, pc2=0.01
