Iteration 8, Warp ID: 107, Weight: 6.781684e-06, CVs: pc1=0.98, pc2=0.21
Iteration 8, Warp ID: 108, Weight: 2.034505e-05, CVs: pc1=0.78, pc2=0.09
Iteration 8, Warp ID: 109, Weight: 2.034505e-05, CVs: pc1=0.74, pc2=0.16
Iteration 8, Warp ID: 110, Weight: 2.034505e-05, CVs: pc1=0.76, pc2=0.15
Iteration 8, Warp ID: 111, Weight: 2.034505e-05, CVs: pc1=0.89, pc2=0.10
Iteration 9, Warp ID: 115, Weight: 6.781684e-06, CVs: pc1=0.75, pc2=0.00
Iteration 9, Warp ID: 99, Weight: 5.289714e-04, CVs: pc1=0.77, pc2=0.00
Iteration 9, Warp ID: 119, Weight: 4.069010e-05, CVs: pc1=0.86, pc2=0.03
Iteration 10, Warp ID: 113, Weight: 7.731120e-04, CVs: pc1=0.75, pc2=0.01
Iteration 10, Warp ID: 124, Weight: 6.781684e-06, CVs: pc1=0.86, pc2=0.02
Iteration 11, Warp ID: 130, Weight: 8.477105e-07, CVs: pc1=0.83, pc2=0.00
Iteration 11, Warp ID: 139, Weight: 6.781684e-06, CVs: pc1=0.86, pc2=0.04
Iteration 11, Warp ID: 119, Weight: 3.390842e-06, CVs: pc1=0.74, pc2=0.04
Iteration 11, Warp ID: 122, Weight: 1.763238e-04, CVs: pc1=0.83, pc2=0.01
Iteration 11, Warp ID: 123, Weight: 8.138021e-05, CVs: pc1=0.80, pc2=0.00
Iteration 11, Warp ID: 124, Weight: 1.627604e-04, CVs: pc1=0.75, pc2=0.03
Iteration 11, Warp ID: 127, Weight: 6.781684e-06, CVs: pc1=0.78, pc2=0.00
Iteration 12, Warp ID: 128, Weight: 8.816189e-05, CVs: pc1=0.86, pc2=0.00
Iteration 12, Warp ID: 114, Weight: 1.017253e-04, CVs: pc1=0.75, pc2=0.04
Iteration 12, Warp ID: 115, Weight: 1.017253e-04, CVs: pc1=0.77, pc2=-0.00
Iteration 12, Warp ID: 116, Weight: 6.103516e-05, CVs: pc1=0.76, pc2=0.07
Iteration 12, Warp ID: 119, Weight: 4.882812e-04, CVs: pc1=0.74, pc2=0.02
Iteration 12, Warp ID: 120, Weight: 6.781684e-06, CVs: pc1=0.79, pc2=0.02
Iteration 13, Warp ID: 132, Weight: 2.825702e-07, CVs: pc1=0.86, pc2=0.09
Iteration 13, Warp ID: 133, Weight: 2.825702e-07, CVs: pc1=0.86, pc2=0.10
Iteration 13, Warp ID: 134, Weight: 2.825702e-07, CVs: pc1=0.86, pc2=0.05
Iteration 13, Warp ID: 135, Weight: 2.825702e-07, CVs: pc1=0.92, pc2=0.12
Iteration 13, Warp ID: 109, Weight: 4.408095e-05, CVs: pc1=0.80, pc2=0.00
Iteration 13, Warp ID: 112, Weight: 1.220703e-04, CVs: pc1=0.80, pc2=0.01
Iteration 13, Warp ID: 113, Weight: 1.220703e-04, CVs: pc1=0.75, pc2=0.04
Iteration 13, Warp ID: 114, Weight: 4.069010e-05, CVs: pc1=0.87, pc2=0.10
Iteration 13, Warp ID: 119, Weight: 5.425347e-05, CVs: pc1=1.00, pc2=0.16
Iteration 13, Warp ID: 120, Weight: 8.477105e-07, CVs: pc1=0.83, pc2=0.02
Iteration 13, Warp ID: 124, Weight: 6.103516e-05, CVs: pc1=1.00, pc2=0.12
Iteration 13, Warp ID: 127, Weight: 1.695421e-06, CVs: pc1=0.78, pc2=0.00
Iteration 14, Warp ID: 128, Weight: 8.477105e-07, CVs: pc1=0.80, pc2=0.01
Iteration 14, Warp ID: 136, Weight: 5.298191e-08, CVs: pc1=0.87, pc2=0.08
Iteration 14, Warp ID: 119, Weight: 1.695421e-06, CVs: pc1=0.80, pc2=0.00
Iteration 14, Warp ID: 120, Weight: 1.356337e-05, CVs: pc1=0.96, pc2=0.15
Iteration 14, Warp ID: 121, Weight: 1.356337e-05, CVs: pc1=0.76, pc2=0.12
Iteration 14, Warp ID: 122, Weight: 1.356337e-05, CVs: pc1=0.75, pc2=0.15
Iteration 14, Warp ID: 123, Weight: 1.356337e-05, CVs: pc1=0.94, pc2=0.13
Iteration 14, Warp ID: 125, Weight: 4.408095e-05, CVs: pc1=0.77, pc2=0.02
Iteration 15, Warp ID: 128, Weight: 1.098633e-03, CVs: pc1=0.86, pc2=0.02
Iteration 15, Warp ID: 131, Weight: 5.298191e-08, CVs: pc1=0.87, pc2=0.02
Iteration 15, Warp ID: 132, Weight: 3.390842e-04, CVs: pc1=0.86, pc2=0.07
Iteration 15, Warp ID: 133, Weight: 3.390842e-04, CVs: pc1=0.86, pc2=0.03
Iteration 15, Warp ID: 117, Weight: 1.017253e-04, CVs: pc1=0.84, pc2=0.01
Iteration 15, Warp ID: 118, Weight: 1.017253e-04, CVs: pc1=0.79, pc2=0.04
Iteration 16, Warp ID: 131, Weight: 6.357829e-07, CVs: pc1=0.80, pc2=0.01
Iteration 16, Warp ID: 137, Weight: 5.274643e-06, CVs: pc1=0.85, pc2=0.04
Iteration 16, Warp ID: 143, Weight: 4.747179e-05, CVs: pc1=0.82, pc2=0.01
Iteration 16, Warp ID: 144, Weight: 2.543132e-06, CVs: pc1=0.86, pc2=0.02
Iteration 16, Warp ID: 126, Weight: 9.155273e-05, CVs: pc1=0.75, pc2=0.01
Iteration 16, Warp ID: 127, Weight: 9.155273e-05, CVs: pc1=0.84, pc2=0.01
Iteration 17, Warp ID: 134, Weight: 6.103516e-05, CVs: pc1=0.86, pc2=0.05
Iteration 17, Warp ID: 136, Weight: 1.907349e-04, CVs: pc1=0.80, pc2=0.01
Iteration 17, Warp ID: 138, Weight: 3.650241e-03, CVs: pc1=0.82, pc2=0.01
Iteration 17, Warp ID: 143, Weight: 2.649095e-08, CVs: pc1=0.80, pc2=0.00
Iteration 17, Warp ID: 146, Weight: 5.274643e-06, CVs: pc1=0.86, pc2=0.00
Iteration 17, Warp ID: 124, Weight: 3.526476e-04, CVs: pc1=0.75, pc2=0.02
Iteration 18, Warp ID: 128, Weight: 5.833308e-04, CVs: pc1=0.82, pc2=0.01
Iteration 18, Warp ID: 129, Weight: 9.557936e-05, CVs: pc1=0.89, pc2=0.00
Iteration 18, Warp ID: 134, Weight: 4.762014e-04, CVs: pc1=0.86, pc2=0.04
Iteration 18, Warp ID: 135, Weight: 4.762014e-04, CVs: pc1=0.83, pc2=0.01
Iteration 18, Warp ID: 138, Weight: 1.525879e-05, CVs: pc1=0.86, pc2=0.03
Iteration 18, Warp ID: 140, Weight: 1.189620e-03, CVs: pc1=0.86, pc2=0.04
Iteration 18, Warp ID: 112, Weight: 2.596113e-05, CVs: pc1=0.79, pc2=0.00
Iteration 18, Warp ID: 124, Weight: 2.938730e-05, CVs: pc1=0.82, pc2=0.00
Iteration 18, Warp ID: 126, Weight: 1.763238e-04, CVs: pc1=0.76, pc2=0.01
Iteration 18, Warp ID: 127, Weight: 1.582393e-05, CVs: pc1=0.75, pc2=0.01
Iteration 19, Warp ID: 128, Weight: 3.673412e-06, CVs: pc1=0.82, pc2=0.02
Iteration 19, Warp ID: 130, Weight: 3.673412e-06, CVs: pc1=0.84, pc2=0.00
Iteration 19, Warp ID: 131, Weight: 3.673412e-06, CVs: pc1=0.81, pc2=0.00
