Iteration 10, Warp ID: 171, Weight: 2.980232e-08, CVs: pc1=0.91, pc2=0.07
Iteration 10, Warp ID: 178, Weight: 2.980232e-08, CVs: pc1=0.97, pc2=-0.00
Iteration 10, Warp ID: 179, Weight: 2.980232e-08, CVs: pc1=0.88, pc2=0.04
Iteration 10, Warp ID: 180, Weight: 2.980232e-08, CVs: pc1=0.93, pc2=0.03
Iteration 10, Warp ID: 183, Weight: 2.980232e-08, CVs: pc1=1.00, pc2=0.11
Iteration 10, Warp ID: 184, Weight: 2.980232e-08, CVs: pc1=0.95, pc2=0.08
Iteration 10, Warp ID: 186, Weight: 2.980232e-08, CVs: pc1=0.92, pc2=0.04
Iteration 10, Warp ID: 187, Weight: 2.980232e-08, CVs: pc1=0.90, pc2=0.09
Iteration 10, Warp ID: 188, Weight: 2.980232e-08, CVs: pc1=0.94, pc2=0.04
Iteration 10, Warp ID: 189, Weight: 2.980232e-08, CVs: pc1=0.93, pc2=0.02
Iteration 10, Warp ID: 191, Weight: 2.980232e-08, CVs: pc1=0.99, pc2=0.05
Iteration 11, Warp ID: 192, Weight: 2.980232e-08, CVs: pc1=0.96, pc2=0.11
Iteration 11, Warp ID: 197, Weight: 5.960464e-09, CVs: pc1=0.90, pc2=0.00
Iteration 11, Warp ID: 198, Weight: 5.960464e-09, CVs: pc1=0.90, pc2=0.03
Iteration 11, Warp ID: 199, Weight: 5.960464e-09, CVs: pc1=0.89, pc2=-0.00
Iteration 11, Warp ID: 168, Weight: 4.541306e-08, CVs: pc1=0.89, pc2=0.02
Iteration 11, Warp ID: 200, Weight: 7.450581e-09, CVs: pc1=0.92, pc2=0.08
Iteration 11, Warp ID: 201, Weight: 7.450581e-09, CVs: pc1=0.96, pc2=0.05
Iteration 11, Warp ID: 202, Weight: 7.450581e-09, CVs: pc1=0.96, pc2=0.01
Iteration 11, Warp ID: 204, Weight: 7.450581e-09, CVs: pc1=0.91, pc2=0.00
Iteration 11, Warp ID: 205, Weight: 7.450581e-09, CVs: pc1=0.96, pc2=0.01
Iteration 11, Warp ID: 206, Weight: 7.450581e-09, CVs: pc1=1.00, pc2=0.00
Iteration 11, Warp ID: 176, Weight: 5.960464e-08, CVs: pc1=0.88, pc2=0.01
Iteration 11, Warp ID: 186, Weight: 3.725290e-09, CVs: pc1=0.89, pc2=0.04
Iteration 11, Warp ID: 155, Weight: 1.192093e-07, CVs: pc1=0.90, pc2=0.01
Iteration 11, Warp ID: 189, Weight: 3.725290e-09, CVs: pc1=0.95, pc2=0.05
Iteration 11, Warp ID: 190, Weight: 3.725290e-09, CVs: pc1=0.92, pc2=0.08
Iteration 12, Warp ID: 192, Weight: 3.311369e-09, CVs: pc1=1.00, pc2=0.03
Iteration 12, Warp ID: 193, Weight: 3.311369e-09, CVs: pc1=0.91, pc2=0.08
Iteration 12, Warp ID: 163, Weight: 7.568844e-09, CVs: pc1=0.89, pc2=0.01
Iteration 12, Warp ID: 195, Weight: 3.725290e-09, CVs: pc1=0.96, pc2=0.04
Iteration 12, Warp ID: 196, Weight: 5.960464e-09, CVs: pc1=0.95, pc2=0.03
Iteration 12, Warp ID: 197, Weight: 5.960464e-09, CVs: pc1=0.98, pc2=0.00
Iteration 12, Warp ID: 199, Weight: 3.725290e-09, CVs: pc1=1.00, pc2=0.06
Iteration 12, Warp ID: 200, Weight: 1.862645e-09, CVs: pc1=0.93, pc2=0.08
Iteration 12, Warp ID: 201, Weight: 1.862645e-09, CVs: pc1=0.90, pc2=0.02
Iteration 12, Warp ID: 202, Weight: 1.862645e-09, CVs: pc1=0.96, pc2=0.08
