Iteration 17, Warp ID: 160, Weight: 1.862645e-09, CVs: pc1=0.96, pc2=0.20
Iteration 17, Warp ID: 161, Weight: 1.862645e-09, CVs: pc1=0.94, pc2=0.15
Iteration 17, Warp ID: 147, Weight: 8.940697e-08, CVs: pc1=0.91, pc2=0.09
Iteration 17, Warp ID: 148, Weight: 8.940697e-08, CVs: pc1=0.88, pc2=0.00
Iteration 17, Warp ID: 156, Weight: 1.862645e-09, CVs: pc1=0.91, pc2=0.07
Iteration 17, Warp ID: 157, Weight: 1.862645e-09, CVs: pc1=0.94, pc2=0.16
Iteration 17, Warp ID: 159, Weight: 1.862645e-09, CVs: pc1=0.93, pc2=0.10
Iteration 18, Warp ID: 148, Weight: 1.490116e-08, CVs: pc1=0.91, pc2=0.01
Iteration 18, Warp ID: 149, Weight: 1.490116e-08, CVs: pc1=0.88, pc2=0.00
Iteration 20, Warp ID: 144, Weight: 1.899898e-07, CVs: pc1=0.92, pc2=0.01
Iteration 20, Warp ID: 148, Weight: 5.960464e-08, CVs: pc1=0.92, pc2=0.03
Iteration 21, Warp ID: 144, Weight: 5.972882e-07, CVs: pc1=0.91, pc2=0.00
Iteration 21, Warp ID: 145, Weight: 5.972882e-07, CVs: pc1=0.89, pc2=0.00
Iteration 21, Warp ID: 151, Weight: 9.313226e-10, CVs: pc1=0.90, pc2=0.05
Iteration 21, Warp ID: 154, Weight: 1.986821e-08, CVs: pc1=0.91, pc2=0.04
Iteration 21, Warp ID: 158, Weight: 1.986821e-08, CVs: pc1=0.92, pc2=0.11
Iteration 22, Warp ID: 146, Weight: 2.593906e-07, CVs: pc1=0.91, pc2=0.01
Iteration 23, Warp ID: 159, Weight: 4.656613e-10, CVs: pc1=0.94, pc2=0.09
Iteration 24, Warp ID: 152, Weight: 4.656613e-10, CVs: pc1=0.92, pc2=0.10
Iteration 24, Warp ID: 153, Weight: 4.656613e-10, CVs: pc1=0.94, pc2=0.08
Iteration 24, Warp ID: 154, Weight: 4.656613e-10, CVs: pc1=0.92, pc2=0.10
Iteration 24, Warp ID: 156, Weight: 7.761021e-11, CVs: pc1=0.96, pc2=0.19
Iteration 25, Warp ID: 150, Weight: 3.880511e-11, CVs: pc1=0.90, pc2=0.04
Iteration 26, Warp ID: 154, Weight: 2.473826e-10, CVs: pc1=0.91, pc2=0.02
Iteration 26, Warp ID: 158, Weight: 7.275958e-12, CVs: pc1=0.95, pc2=0.04
Iteration 26, Warp ID: 159, Weight: 7.275958e-12, CVs: pc1=0.92, pc2=0.13
Iteration 27, Warp ID: 160, Weight: 9.094947e-13, CVs: pc1=0.98, pc2=0.21
Iteration 27, Warp ID: 162, Weight: 9.094947e-13, CVs: pc1=0.97, pc2=0.14
Iteration 27, Warp ID: 163, Weight: 9.094947e-13, CVs: pc1=0.97, pc2=0.16
Iteration 27, Warp ID: 144, Weight: 4.303055e-07, CVs: pc1=0.89, pc2=0.02
Iteration 27, Warp ID: 148, Weight: 7.450581e-09, CVs: pc1=0.90, pc2=0.03
Iteration 27, Warp ID: 150, Weight: 1.510246e-08, CVs: pc1=0.89, pc2=0.02
Iteration 27, Warp ID: 151, Weight: 2.182787e-11, CVs: pc1=0.92, pc2=0.03
Iteration 27, Warp ID: 157, Weight: 9.094947e-13, CVs: pc1=0.90, pc2=0.06
Iteration 27, Warp ID: 159, Weight: 9.094947e-13, CVs: pc1=0.91, pc2=0.11
Iteration 28, Warp ID: 148, Weight: 2.736277e-07, CVs: pc1=0.91, pc2=0.06
Iteration 28, Warp ID: 153, Weight: 2.273737e-13, CVs: pc1=0.95, pc2=0.20
Iteration 28, Warp ID: 140, Weight: 1.691711e-08, CVs: pc1=0.89, pc2=0.05
Iteration 28, Warp ID: 151, Weight: 9.094947e-13, CVs: pc1=0.91, pc2=0.08
Iteration 29, Warp ID: 160, Weight: 7.579123e-14, CVs: pc1=0.95, pc2=0.12
Iteration 29, Warp ID: 161, Weight: 7.579123e-14, CVs: pc1=1.00, pc2=0.16
Iteration 29, Warp ID: 162, Weight: 7.579123e-14, CVs: pc1=0.98, pc2=0.18
Iteration 29, Warp ID: 163, Weight: 2.273737e-13, CVs: pc1=0.96, pc2=0.16
Iteration 29, Warp ID: 144, Weight: 6.070843e-08, CVs: pc1=0.90, pc2=0.01
Iteration 29, Warp ID: 145, Weight: 6.070843e-08, CVs: pc1=0.92, pc2=0.09
Iteration 29, Warp ID: 152, Weight: 9.094947e-13, CVs: pc1=0.94, pc2=0.09
Iteration 29, Warp ID: 154, Weight: 9.120925e-08, CVs: pc1=0.92, pc2=0.11
Iteration 30, Warp ID: 145, Weight: 1.268783e-08, CVs: pc1=0.90, pc2=0.00
Iteration 30, Warp ID: 146, Weight: 1.268783e-08, CVs: pc1=0.88, pc2=0.01
Iteration 30, Warp ID: 148, Weight: 4.749745e-08, CVs: pc1=0.94, pc2=0.08
Iteration 30, Warp ID: 149, Weight: 4.749745e-08, CVs: pc1=0.90, pc2=0.09
Iteration 30, Warp ID: 150, Weight: 8.458555e-09, CVs: pc1=0.92, pc2=0.05
Iteration 30, Warp ID: 151, Weight: 8.458555e-09, CVs: pc1=0.90, pc2=0.03
Iteration 30, Warp ID: 152, Weight: 4.656613e-10, CVs: pc1=0.92, pc2=0.14
Iteration 30, Warp ID: 153, Weight: 4.656613e-10, CVs: pc1=0.90, pc2=0.05
Iteration 30, Warp ID: 154, Weight: 4.656613e-10, CVs: pc1=0.94, pc2=0.19
Iteration 30, Warp ID: 157, Weight: 6.208817e-10, CVs: pc1=0.97, pc2=0.13
Iteration 30, Warp ID: 158, Weight: 6.208817e-10, CVs: pc1=0.94, pc2=0.13
Iteration 30, Warp ID: 159, Weight: 5.684342e-14, CVs: pc1=0.94, pc2=0.15
Iteration 31, Warp ID: 147, Weight: 1.209694e-07, CVs: pc1=0.89, pc2=0.04
Iteration 31, Warp ID: 153, Weight: 1.164153e-10, CVs: pc1=0.94, pc2=0.06
Iteration 31, Warp ID: 154, Weight: 1.164153e-10, CVs: pc1=0.92, pc2=0.11
Iteration 31, Warp ID: 155, Weight: 1.164153e-10, CVs: pc1=0.92, pc2=0.07
Iteration 31, Warp ID: 157, Weight: 1.552204e-10, CVs: pc1=0.92, pc2=0.11
Iteration 31, Warp ID: 158, Weight: 1.552204e-10, CVs: pc1=0.92, pc2=0.11
Iteration 31, Warp ID: 159, Weight: 1.552204e-10, CVs: pc1=0.91, pc2=0.09
Iteration 32, Warp ID: 153, Weight: 5.820766e-11, CVs: pc1=0.90, pc2=0.06
Iteration 32, Warp ID: 148, Weight: 7.761021e-11, CVs: pc1=0.88, pc2=0.01
Iteration 32, Warp ID: 151, Weight: 7.761021e-11, CVs: pc1=0.89, pc2=0.05
Iteration 33, Warp ID: 136, Weight: 2.437228e-04, CVs: pc1=0.89, pc2=0.06
Iteration 33, Warp ID: 138, Weight: 3.104409e-10, CVs: pc1=0.88, pc2=0.03
Iteration 33, Warp ID: 144, Weight: 1.552204e-10, CVs: pc1=0.91, pc2=0.04
Iteration 33, Warp ID: 148, Weight: 4.656613e-10, CVs: pc1=0.91, pc2=0.02
Iteration 33, Warp ID: 150, Weight: 7.761021e-11, CVs: pc1=0.92, pc2=0.00
Iteration 33, Warp ID: 153, Weight: 3.040308e-08, CVs: pc1=0.92, pc2=0.08
Iteration 34, Warp ID: 154, Weight: 1.940255e-11, CVs: pc1=0.88, pc2=0.04
Iteration 34, Warp ID: 156, Weight: 1.027672e-06, CVs: pc1=0.92, pc2=0.06
Iteration 34, Warp ID: 157, Weight: 1.027672e-06, CVs: pc1=0.89, pc2=0.05
Iteration 34, Warp ID: 158, Weight: 1.027672e-06, CVs: pc1=0.90, pc2=0.01
Iteration 35, Warp ID: 160, Weight: 7.600771e-09, CVs: pc1=0.95, pc2=0.08
Iteration 35, Warp ID: 161, Weight: 7.600771e-09, CVs: pc1=0.94, pc2=0.15
Iteration 35, Warp ID: 162, Weight: 7.600771e-09, CVs: pc1=0.96, pc2=0.09
Iteration 35, Warp ID: 163, Weight: 7.600771e-09, CVs: pc1=0.92, pc2=0.07
Iteration 35, Warp ID: 167, Weight: 2.533590e-09, CVs: pc1=0.97, pc2=0.22
Iteration 35, Warp ID: 152, Weight: 1.548783e-06, CVs: pc1=0.89, pc2=0.06
Iteration 35, Warp ID: 154, Weight: 1.940255e-11, CVs: pc1=0.88, pc2=0.01
Iteration 35, Warp ID: 157, Weight: 3.378120e-09, CVs: pc1=0.91, pc2=0.12
Iteration 36, Warp ID: 158, Weight: 1.689060e-09, CVs: pc1=0.90, pc2=0.05
Iteration 36, Warp ID: 149, Weight: 3.083015e-06, CVs: pc1=0.93, pc2=0.00
Iteration 36, Warp ID: 157, Weight: 1.689060e-09, CVs: pc1=0.91, pc2=0.03
Iteration 37, Warp ID: 160, Weight: 4.850638e-12, CVs: pc1=0.92, pc2=0.10
Iteration 37, Warp ID: 161, Weight: 4.850638e-12, CVs: pc1=0.95, pc2=0.17
Iteration 37, Warp ID: 162, Weight: 4.850638e-12, CVs: pc1=0.93, pc2=0.09
Iteration 37, Warp ID: 149, Weight: 1.160407e-07, CVs: pc1=0.93, pc2=0.02
Iteration 37, Warp ID: 158, Weight: 8.445301e-10, CVs: pc1=0.90, pc2=0.07
Iteration 38, Warp ID: 156, Weight: 2.815100e-10, CVs: pc1=0.90, pc2=0.09
Iteration 38, Warp ID: 147, Weight: 8.445301e-10, CVs: pc1=0.90, pc2=0.06
Iteration 38, Warp ID: 140, Weight: 9.141348e-05, CVs: pc1=0.90, pc2=0.10
Iteration 38, Warp ID: 149, Weight: 3.312603e-05, CVs: pc1=0.92, pc2=0.01
Iteration 39, Warp ID: 137, Weight: 9.983838e-06, CVs: pc1=0.89, pc2=0.03
Iteration 39, Warp ID: 144, Weight: 3.312603e-05, CVs: pc1=0.89, pc2=0.00
Iteration 39, Warp ID: 146, Weight: 1.497010e-04, CVs: pc1=0.92, pc2=0.14
Iteration 39, Warp ID: 149, Weight: 3.327946e-06, CVs: pc1=0.94, pc2=0.18
Iteration 39, Warp ID: 150, Weight: 3.327946e-06, CVs: pc1=0.95, pc2=0.18
Iteration 39, Warp ID: 151, Weight: 1.548783e-06, CVs: pc1=0.90, pc2=0.03
Iteration 40, Warp ID: 144, Weight: 1.523558e-05, CVs: pc1=0.90, pc2=0.08
Iteration 40, Warp ID: 149, Weight: 1.523558e-05, CVs: pc1=0.93, pc2=0.08
Iteration 41, Warp ID: 133, Weight: 6.126967e-06, CVs: pc1=0.89, pc2=0.04
Iteration 41, Warp ID: 144, Weight: 2.208402e-05, CVs: pc1=0.89, pc2=-0.00
Iteration 41, Warp ID: 148, Weight: 1.472268e-05, CVs: pc1=0.92, pc2=0.04
Iteration 41, Warp ID: 151, Weight: 4.850638e-12, CVs: pc1=0.92, pc2=0.00
Iteration 41, Warp ID: 152, Weight: 3.808895e-06, CVs: pc1=0.92, pc2=0.13
Iteration 41, Warp ID: 156, Weight: 3.808895e-06, CVs: pc1=0.96, pc2=0.22
Iteration 41, Warp ID: 157, Weight: 3.808895e-06, CVs: pc1=0.96, pc2=0.21
Iteration 42, Warp ID: 138, Weight: 8.418036e-05, CVs: pc1=0.88, pc2=-0.00
Iteration 42, Warp ID: 148, Weight: 3.808895e-06, CVs: pc1=0.90, pc2=0.00
Iteration 42, Warp ID: 149, Weight: 1.269632e-06, CVs: pc1=0.91, pc2=0.07
Iteration 42, Warp ID: 151, Weight: 1.269632e-06, CVs: pc1=0.91, pc2=0.02
Iteration 43, Warp ID: 152, Weight: 2.815100e-10, CVs: pc1=0.91, pc2=0.07
Iteration 43, Warp ID: 153, Weight: 5.138358e-07, CVs: pc1=0.97, pc2=0.06
Iteration 43, Warp ID: 155, Weight: 5.138358e-07, CVs: pc1=0.92, pc2=0.12
Iteration 44, Warp ID: 142, Weight: 1.904447e-06, CVs: pc1=0.87, pc2=0.00
Iteration 45, Warp ID: 147, Weight: 1.284590e-07, CVs: pc1=0.90, pc2=0.02
Iteration 45, Warp ID: 148, Weight: 1.284590e-07, CVs: pc1=0.92, pc2=0.11
Iteration 45, Warp ID: 149, Weight: 4.281965e-08, CVs: pc1=0.93, pc2=0.10
Iteration 45, Warp ID: 151, Weight: 4.281965e-08, CVs: pc1=0.92, pc2=0.07
Iteration 45, Warp ID: 156, Weight: 1.241983e-06, CVs: pc1=0.98, pc2=0.08
Iteration 45, Warp ID: 157, Weight: 1.241983e-06, CVs: pc1=0.97, pc2=0.13
